gov_id,title_zh,total_amount,avg_amount_per_week,decline_rate_mean,is_long_tail,release_days,release_round,previous_total_amount,re_release_gap_days,long_tail_strength,region,movie_class,publisher
31767,醜得要命,536511.0,76644.43,-0.235,False,49,1,0.0,0,1.5907727793850743,韓國,輔12級,壹壹喜喜電影股份有限公司
31769,大競走,5035097.0,719299.57,-0.395,False,56,1,0.0,0,1.3293208692884129,美國,輔15級,車庫娛樂股份有限公司
31777,奇幻導航,1858006.0,371601.2,3.112,False,35,1,0.0,0,-3.7841959990096523,美國,保護級,美商台灣索尼影業發行股份有限公司台灣分公司
31794,劇場版『鏈鋸人 蕾潔篇』,192190191.0,27455741.57,51.306,False,49,1,0.0,0,-104.60838619574581,日本,輔15級,美商台灣索尼影業發行股份有限公司台灣分公司
31796,傲嬌公主的奇幻冒險,788439.0,131406.5,2.6,False,42,1,0.0,0,-3.113456238488501,捷克,普遍級,希望影視行銷股份有限公司
31797,一戰再戰,27789863.0,4631643.83,-0.365,False,42,1,0.0,0,1.2356529446501239,美國,輔15級,美商華納兄弟（遠東）股份有限公司台灣分公司
31799,電影版 神奇柑仔店 錢天堂,3368668.0,561444.67,-0.451,False,42,1,0.0,0,1.068304671831367,日本,普遍級,車庫娛樂股份有限公司
31801,鬼祭,930378.0,186075.6,-0.563,False,35,1,0.0,0,0.7829988880526602,印尼,輔15級,采昌國際多媒體股份有限公司
31805,阿蒙怎麼了？,100968.0,25242.0,-0.441,False,28,1,0.0,0,0.8996757930506619,挪威,輔12級,好威映象有限公司
31807,泥娃娃,79319351.0,19829837.75,15.432,False,28,1,0.0,0,-23.227407952248935,中華民國,輔15級,威視股份有限公司
31808,夢想巨無霸,2382443.0,476488.6,-0.286,False,35,1,0.0,0,1.2793162610288311,印尼,普遍級,采昌國際多媒體股份有限公司
31809,疾速營救,1201846.0,240369.2,-0.431,False,35,1,0.0,0,1.019511137990763,美國,輔12級,英屬維京群島商高捷全球開發有限公司 台灣分公司
31810,十年,73393.0,36696.5,0.0,False,21,1,0.0,0,1.3862943611198906,香港,輔12級,佳映娛樂國際股份有限公司
31835,沒好婚姻,2959413.0,493235.5,-0.377,False,42,1,0.0,0,1.21230202286146,美國,輔15級,台灣華特迪士尼股份有限公司
31836,8號出口,11364853.0,1623550.43,-0.429,False,49,1,0.0,0,1.187361120299186,日本,保護級,壹壹喜喜電影股份有限公司
31842,蓋比的娃娃屋大電影,2413153.0,482630.6,-0.338,False,35,1,0.0,0,1.1861447686289723,美國,普遍級,美商美國環球影片股份有限公司台灣分公司
31863,他年她日,10523797.0,2104759.4,-0.477,False,35,1,0.0,0,0.9370902024062728,香港,保護級,香港商甲上娛樂有限公司台灣分公司
31900,一百公尺。,10891796.0,2178359.2,-0.113,False,35,1,0.0,0,1.5892906492052847,日本,普遍級,車庫娛樂股份有限公司
31904,陰陽眼見子,292259.0,58451.8,-0.573,False,35,1,0.0,0,0.7650812933603796,日本,保護級,天馬行空數位有限公司
32087,碰碰狐和貝貝彬歡唱電影：奇幻世界大冒險(國語版),8452468.0,1690493.6,8.796,False,35,1,0.0,0,-13.968556822101915,韓國,普遍級,香港商甲上娛樂有限公司台灣分公司
32098,藤本樹17-26：PART 1,4392556.0,1464185.33,-0.189,False,21,1,0.0,0,1.1242847268682312,日本,輔12級,采昌國際多媒體股份有限公司
32099,創：戰神,37581810.0,9395452.5,-0.417,False,28,1,0.0,0,0.9383023029490805,美國,保護級,台灣華特迪士尼股份有限公司
32103,狼來了,465913.0,116478.25,-0.592,False,28,1,0.0,0,0.6566506682731129,美國,輔15級,車庫娛樂股份有限公司
32111,徵人啟弒,6408005.0,1602001.25,-0.417,False,28,1,0.0,0,0.9383023029490805,韓國,輔15級,英屬維京群島商高捷全球開發有限公司 台灣分公司
32112,風林火山,11257555.0,2814388.75,-0.409,False,28,1,0.0,0,0.9511778062485532,香港,限制級,壹壹喜喜電影股份有限公司
32114,藤本樹17-26：PART 2,4287813.0,1429271.0,-0.064,False,21,1,0.0,0,1.2975715220082176,日本,輔12級,采昌國際多媒體股份有限公司
32116,銀魂劇場版 2D 真選組動亂篇,1675738.0,418934.5,-0.505,False,28,1,0.0,0,0.7966717666548796,日本,保護級,薩摩亞商羚邦(亞洲)有限公司台灣分公司
8873,橫山家之味,226255.0,56563.75,-0.387,False,28,1,0.0,0,0.9865854403221035,日本,普遍級,傳影互動股份有限公司
8878,無人知曉的夏日清晨,335230.0,111743.33,-0.232,False,21,1,0.0,0,1.064674069340076,日本,輔12級,傳影互動股份有限公司
9161,宿怨,846855.0,211713.75,-0.382,False,28,3,26443700.0,2535,0.9946326298842739,美國,輔15級,傳影互動股份有限公司
