gov_id,atmovies_id,gov_title_zh,gov_title_en,region,rating,release_date,publisher,film_length,director,actor_list,source_file
31796,fpcz10996076,傲嬌公主的奇幻冒險,The Proud Princess,捷克,普遍級,2025-09-20,希望影視行銷股份有限公司,5040,拉德克貝蘭; 大衛利西,安娜菲亞洛娃; 珍娜斯沃博多瓦; 阿列什普羅哈茲卡,31796_傲嬌公主的奇幻冒險_fpcz10996076.csv
31797,foen30144839,一戰再戰,One Battle After Another,美國,輔15級,2025-09-25,美商華納兄弟（遠東）股份有限公司台灣分公司,9660,保羅湯瑪斯安德森,瑞吉娜霍爾; 西恩潘; 班尼西歐岱托羅; 堤亞娜泰勒; 李奧納多狄卡皮歐; 雀絲英菲尼迪,31797_一戰再戰_foen30144839.csv
31799,fsjp33256912,電影版 神奇柑仔店 錢天堂,The Supernatural Sweet Shop The Movie,日本,普遍級,2025-09-26,車庫娛樂股份有限公司,6180,中田秀夫,上白石萌音; 天海祐希; 大橋和也; 伊原六花,31799_電影版 神奇柑仔店 錢天堂_fsjp33256912.csv
31801,fsin33349807,鬼祭,Pabrik Gula,印尼,輔15級,2025-09-19,采昌國際多媒體股份有限公司,7920,艾文蘇亞迪,貝尼迪克特斯西雷加爾; 阿里夫阿爾菲安西亞; 埃爾西亞奧雷利亞; 阿爾巴尼亞西茲,31801_鬼祭_fsin33349807.csv
31807,fmcn39232790,泥娃娃,Mudborn,中華民國,輔15級,2025-09-28,威視股份有限公司,6600,解孟儒,郭雪芙; 蔡思韵; 張軒睿; 楊祐寧,31807_泥娃娃_fmcn39232790.csv
31808,fjin27433995,夢想巨無霸,Jumbo,印尼,普遍級,2025-10-03,采昌國際多媒體股份有限公司,6120,瑞安阿德里安迪,葛拉西艾拉艾比蓋兒; 尤素夫奧茲坎; 普林斯波艾提雷; 奎因薩爾曼,31808_夢想巨無霸_fjin27433995.csv
31809,fsen44682810,疾速營救,Stolen Girl,美國,輔12級,2025-09-26,英屬維京群島商高捷全球開發有限公司 台灣分公司,6240,詹姆斯肯特,史考特伊斯威特; 凱特貝琴薩,31809_疾速營救_fsen44682810.csv
31835,fren31973693,沒好婚姻,The Roses,美國,輔15級,2025-09-26,台灣華特迪士尼股份有限公司,6300,傑洛奇,安迪山伯格; 愛莉森珍妮; 班尼迪克康柏拜區; 凱特麥金儂; 蘇尼塔馬尼; 奧莉薇雅柯爾曼,31835_沒好婚姻_fren31973693.csv
31836,fejp35222590,8號出口,Exit 8,日本,保護級,2025-09-19,壹壹喜喜電影股份有限公司,5640,川村元氣,二宮和也; 小松菜奈,31836_8號出口_fejp35222590.csv
31842,fgen32214143,蓋比的娃娃屋大電影,GABBY'S DOLLHOUSE: THE MOVIE,美國,普遍級,2025-10-03,美商美國環球影片股份有限公司台灣分公司,5880,萊恩克雷戈,瑪吉洛; 茱莉葉多南費爾德; 多諾萬巴頓; 克莉絲汀薇格; 艾德華度法蘭科; 萊拉洛克哈特克雷納,31842_蓋比的娃娃屋大電影_fgen32214143.csv
31863,fmcn47188718,他年她日,MEASURE IN LOVE,香港,保護級,2025-09-29,香港商甲上娛樂有限公司台灣分公司,6720,龔兆平,陳澤耀; 許光漢; 袁澧林,31863_他年她日_fmcn47188718.csv
31900,fmjp32600395,一百公尺。,100 METERS,日本,普遍級,2025-10-03,車庫娛樂股份有限公司,6360,岩井澤健治,松坂桃李; 染谷將太,31900_一百公尺。_fmjp32600395.csv
31904,fgjp33829458,陰陽眼見子,THE GIRL WHO SEES,日本,保護級,2025-09-30,天馬行空數位有限公司,5820,中村義洋,久間田琳加; 奈葉; 原菜乃華,31904_陰陽眼見子_fgjp33829458.csv
32087,fben37510071,碰碰狐和貝貝彬歡唱電影：奇幻世界大冒險(國語版),Bebefinn Sing-Along Movie: Into the Pinkfong World,韓國,普遍級,2025-10-04,香港商甲上娛樂有限公司台灣分公司,3840,,,32087_碰碰狐和貝貝彬歡唱電影：奇幻世界大冒險(國語版)_fben37510071.csv
32099,ften36604188,創：戰神,Tron: Ares,美國,保護級,2025-10-08,台灣華特迪士尼股份有限公司,7080,喬奇姆羅寧,吉蓮安德森; 傑瑞德雷托; 伊凡彼得斯; 茱蒂透納史密斯; 葛麗塔李; 傑夫布里吉,32099_創：戰神_ften36604188.csv
32103,fcen34581826,狼來了,COYOTES,美國,輔15級,2025-10-09,車庫娛樂股份有限公司,5460,科林米尼漢,賈斯汀隆; 凱特柏絲沃,32103_狼來了_fcen34581826.csv
32111,fnko41527793,徵人啟弒,NO Other Choice,韓國,輔15級,2025-10-09,英屬維京群島商高捷全球開發有限公司 台灣分公司,8280,朴贊郁,車勝元; 李星民; 朴喜洵; 孫藝真; 廉惠蘭; 李炳憲,32111_徵人啟弒_fnko41527793.csv
32112,fshk44968738,風林火山,Sons of the Neon Night,香港,限制級,2025-10-09,壹壹喜喜電影股份有限公司,7500,麥浚龍,梁家輝; 劉青雲; 高圓圓; 古天樂; 金城武,32112_風林火山_fshk44968738.csv
