gov_id,gov_title_zh,gov_title_en,region,rating,official_release_date,publisher,film_length,director,actor_list,source_file
30739,不可能的任務：最終清算,MISSION: IMPOSSIBLE -THE FINAL RECKONING,美國,輔12級,2025-05-17,美商美國派拉蒙影片股份有限公司台灣分公司,169,克里斯多弗麥奎里,龐克萊門捷夫; 海莉艾特沃; 湯姆克魯斯; 賽門佩格,30739_不可能的任務：最終清算.csv
30783,怪奇艾瑪,Emma's Big Adventure,美國,普遍級,2025-05-29,可樂藝術文創股份有限公司,79,廖光華,娜塔莉格蕾絲; 特拉維斯克洛爾,30783_怪奇艾瑪.csv
30784,她眼中的世界,LEE,美國,輔12級,2025-05-29,采昌國際多媒體股份有限公司,116,艾倫庫羅絲,瑪莉詠柯蒂亞; 諾耶米梅蘭特; 亞歷山大史柯斯嘉; 安迪山伯格; 喬許奧康納; 凱特溫絲蕾; 安德麗亞瑞斯波羅格,30784_她眼中的世界.csv
30808,滿血復活,BRING HER BACK,美國,限制級,2025-05-27,美商台灣索尼影業發行股份有限公司台灣分公司,104,麥可菲利浦; 丹尼菲利普,莎莉霍金斯,30808_滿血復活.csv
30809,名偵探柯南 獨眼的殘像,Detective Conan The Movie: One-Eyed Flashback,日本,保護級,2025-06-25,普威爾國際股份有限公司,109,,,30809_名偵探柯南 獨眼的殘像.csv
30812,送院途中,Vital Signs,香港,保護級,2025-05-29,華映國際文創股份有限公司,96,卓韻芝,朱栢康; 游學修; 袁澧林; 古天樂; 潘燦良,30812_送院途中.csv
30834,馬克白 - 大衛田納特版（經典劇集）,MACBETH WITH DAVID TENNANT AND CUSH JUMBO,英國,保護級,2025-05-23,威秀影城股份有限公司,114,,,30834_馬克白 - 大衛田納特版（經典劇集）.csv
30835,馬克白 - 雷夫范恩斯版（經典劇集）,MACBETH,英國,輔12級,2025-05-27,威秀影城股份有限公司,154,,,30835_馬克白 - 雷夫范恩斯版（經典劇集）.csv
30836,咆哮山莊 - WISE CHILDREN版（經典劇集）,WUTHERING HEIGHTS,英國,保護級,2025-05-30,威秀影城股份有限公司,160,,,30836_咆哮山莊 - WISE CHILDREN版（經典劇集）.csv
30854,腓尼基計劃,THE PHOENICIAN SCHEME,美國,輔12級,2025-06-06,美商美國環球影片股份有限公司台灣分公司,101,魏斯安德森,米亞薛爾波頓; 麥可塞拉; 班尼西歐岱托羅; 琥珀戴維絲; 史嘉蕾喬韓森; 傑弗瑞萊特; 湯姆漢克斯,30854_腓尼基計劃.csv
30863,我家妹妹不准嫁,Will You Marry Monk?,泰國,輔12級,2025-06-06,仲業股份有限公司,90,沃拉武塔溫威西瓦特; 翁加特切姆查倫波恩庫爾; 維拉瓦查約柴孔,鄭壹飛; 可恩娜帕瑟塔拉達那彭; 亞瑞克阿莫蘇帕西瑞,30863_我家妹妹不准嫁.csv
30864,世界就是這樣結束的,The End,英國,輔12級,2025-10-09,東昊影業有限公司,148,約書亞奧本海默,蒂妲絲雲頓; 喬治麥凱; tim mcinnerny; 麥可夏儂,30864_世界就是這樣結束的.csv
30895,男兒王2,NUMBER 2,新加坡,保護級,2025-06-13,華映國際文創股份有限公司,95,王國燊,謝穎澤; 賴宇涵; 陳日成; 張承喜; 陳俊權; 李國煌,30895_男兒王2.csv
30910,驅魔編年史：起源之戰,Exorcism Chronicles：The Beginning,韓國,輔12級,2025-08-15,可樂藝術文創股份有限公司,85,金東澈,,30910_驅魔編年史：起源之戰.csv
30935,鯊人魔,Dangerous Animals,澳洲,輔15級,2025-06-09,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,98,西恩柏恩,喬許霍斯頓; 哈西哈里森; 傑寇特尼,30935_鯊人魔.csv
30946,私家偵探,Behind the Shadows,香港,輔12級,2025-06-16,華映國際文創股份有限公司,102,周汶儒; 李子俊,古天樂; 劉冠廷; 周秀娜,30946_私家偵探.csv
30960,28年毀滅倒數,28 YEARS LATER,美國,限制級,2025-06-17,美商台灣索尼影業發行股份有限公司台灣分公司,114,丹尼鮑伊,阿爾菲威廉斯; 雷夫范恩斯; 亞倫泰勒強森; 茱蒂康默,30960_28年毀滅倒數.csv
31007,超硬伴娘,BRIDE HARD,美國,輔12級,2025-06-20,采昌國際多媒體股份有限公司,105,賽門魏斯特,達芬喬伊藍道夫; 琪琪祖巴多; 安娜克倫斯基; 瑞貝爾威爾森; 安娜坎普,31007_超硬伴娘.csv
31027,F1電影,F1,美國,保護級,2025-06-24,美商華納兄弟（遠東）股份有限公司台灣分公司,155,喬瑟夫柯辛斯基,凱莉肯頓; 哈維爾巴登; 達姆森伊卓瑞斯; 布萊德彼特,31027_F1電影.csv
31035,關於愛,LOVE,挪威,輔12級,2025-07-18,燕翼企業有限公司,119,達格約翰豪格魯德,拉爾斯雅各布荷姆; 湯瑪斯古勒斯塔; 塔約奇塔德拉雅各布森; 安德里亞布萊恩霍維格,31035_關於愛.csv
31037,暗影部隊,SHADOW FORCE,美國,輔12級,2025-10-03,車庫娛樂股份有限公司,103,喬卡納漢,馬克史壯; 歐馬希; 凱莉華盛頓,31037_暗影部隊.csv
31082,地球特派員,ELIO,美國,普遍級,2025-07-02,台灣華特迪士尼股份有限公司,97,石之予; 瑪德琳夏拉菲安; 阿德里安莫里納,雪莉韓德森; 柔伊莎達娜; 瑞蜜艾格莉; 賈米拉賈米爾; 布萊德嘉瑞特; 尤納斯基布里布,31082_地球特派員.csv
31087,豬排特務,HITPIG,美國,普遍級,2025-07-23,原創娛樂股份有限公司,84,大衛費斯; 辛琪亞安潔莉妮,雷恩威爾森; 莉莉辛格; 傑森蘇戴西斯; 查理亞德勒; 安妮塔,31087_豬排特務.csv
31122,關於夢（性與愛）,DREAMS,挪威,保護級,2025-07-25,燕翼企業有限公司,110,達格約翰豪格魯德,艾拉奧弗伯耶; 塞洛姆厄姆尼圖,31122_關於夢（性與愛）.csv
31123,侏羅紀世界：重生,JURASSIC WORLD REBIRTH,美國,保護級,2025-07-01,美商美國環球影片股份有限公司台灣分公司,133,蓋瑞斯愛德華,喬納森拜利; 馬奴賈西亞魯爾福; 魯柏佛蘭德; 馬赫夏拉阿里; 史嘉蕾喬韓森,31123_侏羅紀世界：重生.csv
31128,窒友梅根 2.0,M3GAN 2.0,美國,輔15級,2025-06-27,美商美國環球影片股份有限公司台灣分公司,119,傑拉德約翰史東,愛莉森威廉絲; 艾蜜唐納德; 伊凡娜莎克諾; 珍娜戴維斯; 任范愛普斯; 維奧萊麥克羅,31128_窒友梅根 2.0.csv
31155,惡夏,A BAD SUMMER,日本,輔15級,2025-06-28,政駒實業有限公司,115,城定秀夫,窪田正孝; 竹原皮斯托; 河合優實; 北村匠海,31155_惡夏.csv
31158,黑白線人,Yadang: The Snitch,韓國,限制級,2025-09-05,可樂藝術文創股份有限公司,122,黃炳國,姜河那; 朴海俊; 柳海真,31158_黑白線人.csv
31159,皇家保姆亞瑟,OUT OF THE NEST,泰國,普遍級,2025-10-03,可樂藝術文創股份有限公司,85,阿圖羅a赫南德茲; 安德魯戈登; 維拉帕特拉吉​​納納溫; 傑夫舒,,31159_皇家保姆亞瑟.csv
31186,超人,SUPERMAN,美國,保護級,2025-07-08,美商華納兄弟（遠東）股份有限公司台灣分公司,129,詹姆斯岡恩,瑪麗亞加布里埃拉法里亞; 大衛科倫斯韋; 艾迪蓋瑟吉; 尼可拉斯霍特; 伊莎貝拉莫娜; 瑞秋布羅斯納漢,31186_超人.csv
31190,電影哆啦A夢：大雄的繪畫世界物語,DORAEMON THE MOVIE: NOBITA'S ART WORLD TALES,日本,普遍級,2025-07-18,車庫娛樂股份有限公司,104,,,31190_電影哆啦A夢：大雄的繪畫世界物語.csv
31191,病毒,VIRUS,韓國,保護級,2025-09-19,車庫娛樂股份有限公司,98,姜利官,金倫奭; 裴斗娜; 孫錫求,31191_病毒.csv
31192,迷望,Mimang,韓國,普遍級,2025-07-11,東昊影業有限公司,92,金太陽,夏成國; 李明河,31192_迷望.csv
31201,壞蛋聯盟 2,THE BAD GUYS 2,美國,保護級,2025-07-26,美商美國環球影片股份有限公司台灣分公司,103,皮埃爾佩里費爾,馬克馬隆; 安東尼拉莫斯; 山姆洛克威爾; 克雷格羅賓森; 奧卡菲娜,31201_壞蛋聯盟 2.csv
