current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,amount,film_length_x,is_restricted,release_month_sin,release_month_cos,region,film_length_y
7,0,0,10402219,8061915,36823,28858,86,85,3,21897163,7299054.333,23638904,5584329,144,0,0.5,0.866025404,日本,144
8,0,0,8061915,5584329,28858,20060,85,84,3,21897163,7299054.333,23638904,3034197,144,0,0.5,0.866025404,日本,144
9,0,0,5584329,3034197,20060,11092,84,83,3,21897163,7299054.333,23638904,8322085,144,0,0.5,0.866025404,日本,144
10,0,0,3034197,8322085,11092,21337,83,81,3,21897163,7299054.333,23638904,8827042,144,0,0.5,0.866025404,日本,144
11,0,0,8322085,8827042,21337,21309,81,80,3,21897163,7299054.333,23638904,3781176,144,0,0.5,0.866025404,日本,144
12,0,0,8827042,3781176,21309,8913,80,60,3,21897163,7299054.333,23638904,3348085,144,0,0.5,0.866025404,日本,144
13,0,0,3781176,3348085,8913,7476,60,35,3,21897163,7299054.333,23638904,3721128,144,0,0.5,0.866025404,日本,144
14,0,0,3348085,3721128,7476,9264,35,31,3,21897163,7299054.333,23638904,1430400,144,0,0.5,0.866025404,日本,144
15,0,0,3721128,1430400,9264,2993,31,16,3,21897163,7299054.333,23638904,1123386,144,0,0.5,0.866025404,日本,144
16,0,0,1430400,1123386,2993,2407,16,9,3,21897163,7299054.333,23638904,1290725,144,0,0.5,0.866025404,日本,144
17,0,0,1123386,1290725,2407,2651,9,7,3,21897163,7299054.333,23638904,961545,144,0,0.5,0.866025404,日本,144
18,0,0,1290725,961545,2651,1996,7,6,3,21897163,7299054.333,23638904,469610,144,0,0.5,0.866025404,日本,144
19,0,0,961545,469610,1996,975,6,4,3,21897163,7299054.333,23638904,637975,144,0,0.5,0.866025404,日本,144
20,0,0,469610,637975,975,1247,4,5,3,21897163,7299054.333,23638904,190610,144,0,0.5,0.866025404,日本,144
3,0,0,1472095,2070696,5808,8213,77,77,3,1472095,490698.3333,2070696,1065539,114,1,0.5,0.866025404,美國,114
4,0,0,2070696,1065539,8213,4140,77,77,3,1472095,490698.3333,2070696,386441,114,1,0.5,0.866025404,美國,114
5,0,0,1065539,386441,4140,1474,77,45,3,1472095,490698.3333,2070696,138003,114,1,0.5,0.866025404,美國,114
6,0,0,386441,138003,1474,505,45,18,3,1472095,490698.3333,2070696,64035,114,1,0.5,0.866025404,美國,114
7,0,0,138003,64035,505,240,18,8,3,1472095,490698.3333,2070696,26440,114,1,0.5,0.866025404,美國,114
8,0,0,64035,26440,240,102,8,7,3,1472095,490698.3333,2070696,8480,114,1,0.5,0.866025404,美國,114
9,0,0,26440,8480,102,36,7,2,3,1472095,490698.3333,2070696,1000,114,1,0.5,0.866025404,美國,114
3,0,0,2629324,2440679,10390,9392,80,81,3,2629324,876441.3333,2440679,2045706,117,0,-0.866025404,-0.5,中華民國,117
4,0,0,2440679,2045706,9392,7844,81,79,3,2629324,876441.3333,2440679,1095851,117,0,-0.866025404,-0.5,中華民國,117
5,0,0,2045706,1095851,7844,4414,79,53,3,2629324,876441.3333,2440679,714779,117,0,-0.866025404,-0.5,中華民國,117
6,0,0,1095851,714779,4414,2920,53,38,3,2629324,876441.3333,2440679,485815,117,0,-0.866025404,-0.5,中華民國,117
7,0,0,714779,485815,2920,1965,38,17,3,2629324,876441.3333,2440679,114753,117,0,-0.866025404,-0.5,中華民國,117
8,0,0,485815,114753,1965,438,17,7,3,2629324,876441.3333,2440679,198080,117,0,-0.866025404,-0.5,中華民國,117
9,0,0,114753,198080,438,902,7,9,3,2629324,876441.3333,2440679,134210,117,0,-0.866025404,-0.5,中華民國,117
10,0,0,198080,134210,902,541,9,4,3,2629324,876441.3333,2440679,31230,117,0,-0.866025404,-0.5,中華民國,117
3,0,0,134599,112379,561,481,13,13,3,134599,44866.33333,112379,29293,106,0,0.866025404,0.5,美國,106
4,0,0,112379,29293,481,129,13,6,3,134599,44866.33333,112379,16860,106,0,0.866025404,0.5,美國,106
3,0,0,263012,127988,1021,523,52,51,4,263012,65753,127988,8685,95,0,-0.866025404,0.5,美國,95
4,0,0,127988,8685,523,35,51,7,4,263012,65753,127988,2000,95,0,-0.866025404,0.5,美國,95
3,0,0,607293,715372,2351,2858,28,28,3,607293,202431,715372,272208,136,1,1,6.12E-17,美國,136
4,0,0,715372,272208,2858,1089,28,25,3,607293,202431,715372,93530,136,1,1,6.12E-17,美國,136
5,0,0,272208,93530,1089,379,25,13,3,607293,202431,715372,44370,136,1,1,6.12E-17,美國,136
6,0,0,93530,44370,379,186,13,4,3,607293,202431,715372,29780,136,1,1,6.12E-17,美國,136
7,0,0,44370,29780,186,122,4,4,3,607293,202431,715372,17460,136,1,1,6.12E-17,美國,136
8,0,0,29780,17460,122,75,4,1,3,607293,202431,715372,15960,136,1,1,6.12E-17,美國,136
3,0,0,6642009,4519567,24666,16699,50,53,3,6642009,2214003,4519567,1682023,79,0,0.866025404,-0.5,挪威,79
4,0,0,4519567,1682023,16699,6151,53,53,3,6642009,2214003,4519567,848181,79,0,0.866025404,-0.5,挪威,79
