gov_id,title_zh,total_amount,avg_amount_per_week,decline_rate_mean,decline_rate_last,peak_amount,avg_theater_count,peak_theater_count,total_weeks,momentum_score,second_week_amount_growth_rate,momentum_3w,region,movie_class,film_length,publisher,same_class_amount_last_week
31679,凌晨兩點的惡魔,2713145.0,542629.0,-0.502,-0.853,1326395.0,41.2,73,5,-0.954,-0.67,-0.698,韓國,普遍級,,車庫娛樂股份有限公司,1374924.815
31685,劇場版 咒術迴戰 懷玉・玉折,30261330.0,3362370.0,-0.389,-0.813,9464676.0,57.22,86,9,-0.865,-0.517,-0.449,日本,保護級,,薩摩亞商羚邦(亞洲)有限公司台灣分公司,4661519.714814815
31701,麵包超人電影版：小水滴的英雄！,1308160.0,163520.0,2.025,-0.955,623427.0,15.38,33,8,-0.992,4.961,1.297,日本,普遍級,,曼迪傳播股份有限公司,4661519.714814815
31702,光,137277.0,34319.25,-0.396,-0.98,59615.0,8.25,13,4,-0.993,-0.549,-0.728,德國,輔15級,,聯影企業股份有限公司,34492.73333333333
31704,陌路兄弟,225901.0,45180.2,-0.355,-0.083,126241.0,7.4,12,5,-0.981,-0.823,-0.642,中華民國,保護級,,綺影映畫有限公司,3483269.1605
31712,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),2063774.0,229308.22,107.013,-0.901,708575.0,8.44,16,9,-0.864,413.23,137.552,日本,普遍級,,曼迪傳播股份有限公司,4661519.714814815
31713,捏造：史上最惡殺人教師,688939.0,114823.17,-0.371,0.329,324408.0,13.67,28,6,-0.915,-0.681,-0.681,日本,輔12級,,光年映畫有限公司,4661519.714814815
31714,鋼琴之子,170530.0,28421.67,-0.263,0.045,80635.0,6.5,15,6,-0.527,-0.425,-0.615,西班牙,普遍級,,仲業股份有限公司,27571.17
31715,致我所愛之人,190074.0,21119.33,-0.252,-0.543,51634.0,3.0,9,9,-0.556,-0.619,-0.336,日本,普遍級,,中影股份有限公司,4661519.714814815
31745,血怨,1206370.0,241274.0,-0.505,-0.765,557642.0,25.4,51,5,-0.979,-0.587,-0.77,印尼,輔15級,,車庫娛樂股份有限公司,301279.39999999997
31746,希瑪之歌,20420.0,10210.0,0.0,0.0,16680.0,1.0,1,3,0.0,-0.776,0.0,阿富汗,保護級,,飛望影像有限公司,10210.0
31748,卡夫卡最後的愛,190916.0,38183.2,-0.35,-0.732,95983.0,7.8,14,6,-0.917,4.529,1.171,德國,保護級,,海鵬影業有限公司,34492.73333333333
31760,鬼巫,1160569.0,232113.8,-0.586,-0.877,645419.0,33.4,67,5,-0.983,-0.685,-0.825,美國,輔15級,,車庫娛樂股份有限公司,2439313.4121276597
