gov_id,title_zh,release_round,release_start,release_end,release_days,total_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,is_re_release,release_initial_date,update_at
16264,阿基拉,9,2021-04-05,2021-05-02,28,4,0.0,0.0,0.0,0.0,0.0,2021-04-05~2021-04-11,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,10,2021-05-03,2021-05-30,28,4,0.0,0.0,0.0,0.0,0.0,2021-05-03~2021-05-09,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,11,2021-05-31,2021-06-27,28,4,0.0,0.0,0.0,0.0,0.0,2021-05-31~2021-06-06,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,12,2021-06-28,2021-07-25,28,4,0.0,0.0,0.0,0.0,0.0,2021-06-28~2021-07-04,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,13,2021-07-26,2021-08-22,28,4,0.0,0.0,0.0,0.0,0.0,2021-07-26~2021-08-01,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,14,2021-08-23,2021-09-19,28,4,0.0,0.0,0.0,0.0,0.0,2021-08-23~2021-08-29,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,15,2021-09-20,2021-10-17,28,4,0.0,0.0,0.0,0.0,0.0,2021-09-20~2021-09-26,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,16,2021-10-18,2021-11-14,28,4,0.0,0.0,0.0,0.0,0.0,2021-10-18~2021-10-24,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,17,2021-11-15,2021-12-12,28,4,0.0,0.0,0.0,0.0,0.0,2021-11-15~2021-11-21,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,18,2021-12-13,2022-01-09,28,4,0.0,0.0,0.0,0.0,0.0,2021-12-13~2021-12-19,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,19,2022-01-10,2022-02-06,28,4,0.0,0.0,0.0,0.0,0.0,2022-01-10~2022-01-16,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,20,2022-02-07,2022-03-06,28,4,0.0,0.0,0.0,0.0,0.0,2022-02-07~2022-02-13,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
