gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price
30636,怪譚搜索,1,False,2025-06-06,2025-06-02,2025-07-06,35,5,5,155607.0,600.0,31121.4,120.0,86273.0,2025-06-02~2025-06-08,22,9.8,-0.681,-0.451,-0.569,False,下檔,2025-06-02,2025-10-31 03:06:37,-0.775,9.71,4,2,衰退,需行動,259.35
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,1,False,2025-05-09,2025-05-05,2025-06-22,49,7,7,7470120.0,12561.0,1067160.0,1794.43,3037450.0,2025-05-05~2025-05-11,31,17.71,-0.617,-0.479,-0.842,False,下檔,2025-05-05,2025-10-31 03:06:37,-0.912,9.57,6,2,衰退,需行動,594.71
30676,我們意外的勇氣,1,False,2025-10-02,2025-09-29,2025-10-26,28,4,3,2339941.0,8801.0,779980.33,2933.67,2183741.0,2025-10-20~2025-10-26,79,27.33,0.846,5.769,17.308,False,上映中,2025-09-29,2025-10-31 03:06:37,58.148,0.0,0,1,成長中,正常,265.87
30699,此刻的我們,1,False,2025-05-16,2025-05-12,2025-06-15,35,5,5,399573.0,1587.0,79914.6,317.4,165783.0,2025-05-19~2025-05-25,20,11.8,-0.555,-0.376,-0.532,False,下檔,2025-05-12,2025-10-31 03:06:37,-0.857,9.06,3,2,衰退,需行動,251.78
30699,此刻的我們,2,True,2025-05-16,2025-09-22,2025-10-12,21,3,3,17400.0,232.0,5800.0,77.33,7875.0,2025-09-29~2025-10-05,1,1.0,0.129,-0.182,-0.676,False,下檔,2025-05-12,2025-10-31 03:06:37,-0.634,0.0,1,2,衰退,正常,75.0
30704,造山者－世紀的賭注,1,False,2025-06-13,2025-06-09,2025-10-26,140,20,20,31786838.0,127382.0,1589341.9,6369.1,3858264.0,2025-06-23~2025-06-29,59,28.55,-0.438,-0.022,-0.401,True,上映中,2025-06-09,2025-10-31 03:06:37,-0.103,3.91,1,7,穩定,注意,249.54
30717,馴龍高手,1,False,2025-06-07,2025-06-02,2025-10-26,147,21,21,131968858.0,438671.0,6284231.33,20889.1,36493327.0,2025-06-16~2025-06-22,95,37.05,6.902,2.113,7.589,True,上映中,2025-06-02,2025-10-31 03:06:37,2.472,0.73,0,3,成長中,正常,300.84
30738,星際寶貝：史迪奇,1,False,2025-05-22,2025-05-19,2025-10-19,154,22,21,105649551.0,390110.0,5030931.0,18576.67,31225707.0,2025-05-26~2025-06-01,95,35.43,-0.4,-0.217,-0.696,True,上映中,2025-05-19,2025-10-31 03:06:37,-0.626,6.57,1,3,衰退,注意,270.82
30739,不可能的任務：最終清算,1,False,2025-05-17,2025-05-12,2025-10-26,168,24,24,453181690.0,1465558.0,18882570.42,61064.92,132919944.0,2025-05-19~2025-05-25,95,43.54,-0.474,-0.167,-0.442,True,上映中,2025-05-12,2025-10-31 03:06:37,-0.465,2.85,2,3,衰退,正常,309.22
30808,滿血復活,1,False,2025-05-27,2025-05-26,2025-08-17,84,12,11,5660743.0,21634.0,514613.0,1966.73,2768630.0,2025-05-26~2025-06-01,82,26.09,-0.369,-0.071,-0.673,True,下檔,2025-05-26,2025-10-31 03:06:37,-0.6,6.27,1,2,衰退,注意,261.66
30808,滿血復活,2,True,2025-05-27,2025-10-06,2025-10-26,21,3,2,29603.0,105.0,14801.5,52.5,19160.0,2025-10-20~2025-10-26,1,1.0,0.835,0.0,0.0,False,上映中,2025-05-26,2025-10-31 03:06:37,0.0,0.0,0,2,穩定,正常,281.93
30809,名偵探柯南 獨眼的殘像,1,False,2025-06-25,2025-06-23,2025-10-26,126,18,18,214891009.0,781438.0,11938389.39,43413.22,71677101.0,2025-06-23~2025-06-29,97,49.56,-0.433,-0.085,-0.489,True,上映中,2025-06-23,2025-10-31 03:06:37,1.602,2.69,1,2,成長中,正常,274.99
30863,我家妹妹不准嫁,1,False,2025-06-06,2025-06-02,2025-06-29,28,4,4,1303617.0,5179.0,325904.25,1294.75,616591.0,2025-06-02~2025-06-08,22,18.25,-0.751,-0.356,-0.73,False,下檔,2025-06-02,2025-10-31 03:06:37,-0.804,8.3,3,2,衰退,需行動,251.71
30864,世界就是這樣結束的,1,False,2025-10-09,2025-10-06,2025-10-26,21,3,3,349058.0,1348.0,116352.67,449.33,187235.0,2025-10-13~2025-10-19,16,12.33,-0.235,-0.181,-0.883,False,上映中,2025-10-06,2025-10-31 03:06:37,-0.843,0.0,1,2,衰退,正常,258.95
30960,28年毀滅倒數,1,False,2025-06-17,2025-06-16,2025-08-17,63,9,9,20715296.0,74776.0,2301699.56,8308.44,12155308.0,2025-06-16~2025-06-22,95,43.78,-0.589,-0.577,-0.497,False,下檔,2025-06-16,2025-10-31 03:06:37,-0.817,8.98,8,1,衰退,需行動,277.03
30960,28年毀滅倒數,2,True,2025-06-17,2025-09-15,2025-10-12,28,4,4,114850.0,939.0,28712.5,234.75,51875.0,2025-09-29~2025-10-05,2,1.75,2.213,0.543,-0.618,False,下檔,2025-06-16,2025-10-31 03:06:37,-0.397,3.74,1,2,衰退,注意,122.31
31027,F1電影,1,False,2025-06-24,2025-06-23,2025-10-26,126,18,18,570331117.0,1753849.0,31685062.06,97436.06,96016586.0,2025-06-30~2025-07-06,95,75.61,0.102,-0.226,-0.2,True,上映中,2025-06-23,2025-10-31 03:06:37,-0.607,6.25,16,6,衰退,注意,325.19
31037,暗影部隊,1,False,2025-10-03,2025-09-29,2025-10-26,28,4,4,1264202.0,5214.0,316050.5,1303.5,700050.0,2025-09-29~2025-10-05,62,38.5,-0.679,-0.528,-0.933,False,上映中,2025-09-29,2025-10-31 03:06:37,-0.995,9.94,3,2,衰退,需行動,242.46
31082,地球特派員,1,False,2025-07-02,2025-06-30,2025-10-26,119,17,17,36548947.0,141176.0,2149938.06,8304.47,12229929.0,2025-07-14~2025-07-20,91,33.24,142.587,11.603,0.055,True,上映中,2025-06-30,2025-10-31 03:06:37,-0.782,6.71,0,2,衰退,注意,258.89
31123,侏羅紀世界：重生,1,False,2025-07-01,2025-06-30,2025-10-26,119,17,17,299122893.0,1055684.0,17595464.29,62099.06,109792561.0,2025-06-30~2025-07-06,94,49.82,-0.35,-0.25,-0.243,True,上映中,2025-06-30,2025-10-31 03:06:37,-0.403,1.68,2,2,衰退,正常,283.35
