gov_id,title_zh,release_round,is_re_release,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at
30808,滿血復活,2,True,2025-09-15,2025-10-26,42,6,3,45802.0,160.0,15267.33,53.33,19160.0,2025-10-20~2025-10-26,1,1.0,-0.355,0.0,0.0,False,下檔,2025-05-26,2025-10-29 11:24:08
30809,名偵探柯南 獨眼的殘像,1,False,2025-06-23,2025-10-26,126,18,18,214891009.0,781438.0,11938389.39,43413.22,71677101.0,2025-06-23~2025-06-29,97,49.56,-0.206,-0.085,-0.489,True,下檔,2025-06-23,2025-10-29 11:24:08
30863,我家妹妹不准嫁,1,False,2025-06-02,2025-06-29,28,4,4,1303617.0,5179.0,325904.25,1294.75,616591.0,2025-06-02~2025-06-08,22,18.25,-0.42,-0.356,-0.73,False,下檔,2025-06-02,2025-10-29 11:24:08
30864,世界就是這樣結束的,1,False,2025-10-06,2025-10-26,21,3,3,349058.0,1348.0,116352.67,449.33,187235.0,2025-10-13~2025-10-19,16,12.33,0.339,-0.181,-0.883,False,下檔,2025-10-06,2025-10-29 11:24:08
30960,28年毀滅倒數,1,False,2025-06-16,2025-08-17,63,9,9,20715296.0,74776.0,2301699.56,8308.44,12155308.0,2025-06-16~2025-06-22,95,43.78,-0.52,-0.577,-0.497,False,下檔,2025-06-16,2025-10-29 11:24:08
30960,28年毀滅倒數,2,True,2025-09-15,2025-10-12,28,4,4,114850.0,939.0,28712.5,234.75,51875.0,2025-09-29~2025-10-05,2,1.75,2.213,0.543,-0.618,False,下檔,2025-06-16,2025-10-29 11:24:08
31027,F1電影,1,False,2025-06-23,2025-10-26,126,18,18,570331117.0,1753849.0,31685062.06,97436.06,96016586.0,2025-06-30~2025-07-06,95,75.61,0.286,-0.226,-0.2,True,下檔,2025-06-23,2025-10-29 11:24:08
31037,暗影部隊,1,False,2025-09-29,2025-10-26,28,4,4,1264202.0,5214.0,316050.5,1303.5,700050.0,2025-09-29~2025-10-05,62,38.5,-0.25,-0.528,-0.933,False,下檔,2025-09-29,2025-10-29 11:24:08
31082,地球特派員,1,False,2025-06-30,2025-10-26,119,17,17,36548947.0,141176.0,2149938.06,8304.47,12229929.0,2025-07-14~2025-07-20,91,33.24,200.022,11.603,0.055,True,下檔,2025-06-30,2025-10-29 11:24:08
31123,侏羅紀世界：重生,1,False,2025-06-30,2025-10-26,119,17,17,299122893.0,1055684.0,17595464.29,62099.06,109792561.0,2025-06-30~2025-07-06,94,49.82,-0.242,-0.25,-0.243,True,下檔,2025-06-30,2025-10-29 11:24:08
31128,窒友梅根 2.0,1,False,2025-06-23,2025-08-17,56,8,8,12288830.0,45709.0,1536103.75,5713.62,4992761.0,2025-06-23~2025-06-29,90,43.25,-0.027,-0.489,-0.396,False,下檔,2025-06-23,2025-10-29 11:24:08
31128,窒友梅根 2.0,2,True,2025-09-08,2025-10-12,35,5,5,87265.0,808.0,17453.0,161.6,40305.0,2025-09-15~2025-09-21,2,1.4,1.259,-0.12,-0.675,False,下檔,2025-06-23,2025-10-29 11:24:08
31158,黑白線人,1,False,2025-09-01,2025-10-05,35,5,5,1129371.0,4286.0,225874.2,857.2,503703.0,2025-09-08~2025-09-14,38,23.6,0.077,-0.481,-0.876,False,下檔,2025-09-01,2025-10-29 11:24:08
31159,皇家保姆亞瑟,1,False,2025-09-29,2025-10-26,28,4,4,164835.0,644.0,41208.75,161.0,83803.0,2025-09-29~2025-10-05,18,11.25,-0.21,-0.303,-0.122,False,下檔,2025-09-29,2025-10-29 11:24:08
31186,超人,1,False,2025-07-07,2025-10-26,112,16,15,87892320.0,299708.0,5859488.0,19980.53,39777558.0,2025-07-07~2025-07-13,95,39.07,-0.3,-0.406,-0.235,True,下檔,2025-07-07,2025-10-29 11:24:08
31190,電影哆啦A夢：大雄的繪畫世界物語,1,False,2025-07-14,2025-10-26,105,15,15,58216480.0,225874.0,3881098.67,15058.27,13994814.0,2025-07-21~2025-07-27,86,45.47,0.088,-0.213,0.973,True,下檔,2025-07-14,2025-10-29 11:24:08
31191,病毒,1,False,2025-09-15,2025-10-12,28,4,4,783935.0,3211.0,195983.75,802.75,489419.0,2025-09-15~2025-09-21,68,40.75,-0.458,-0.584,-0.988,False,下檔,2025-09-15,2025-10-29 11:24:08
31201,壞蛋聯盟 2,1,False,2025-07-21,2025-10-26,98,14,13,17427317.0,67838.0,1340562.85,5218.31,5426184.0,2025-08-04~2025-08-10,91,33.08,101.626,7.89,1.541,True,下檔,2025-07-21,2025-10-29 11:24:08
31222,與達賴喇嘛談心：尋找幸福的智慧,1,False,2025-07-14,2025-08-17,35,5,3,116920.0,516.0,38973.33,172.0,55660.0,2025-08-04~2025-08-10,1,1.0,0.301,-0.223,-0.668,False,下檔,2025-07-14,2025-10-29 11:24:08
31251,藍色小精靈大電影,1,False,2025-07-14,2025-09-07,56,8,8,4127052.0,16157.0,515881.5,2019.62,1578156.0,2025-07-14~2025-07-20,82,36.38,-0.094,-0.248,-0.917,False,下檔,2025-07-14,2025-10-29 11:24:08
31251,藍色小精靈大電影,2,True,2025-10-06,2025-10-26,21,3,3,22575.0,301.0,7525.0,100.33,11250.0,2025-10-06~2025-10-12,1,1.0,-0.467,-0.193,-0.112,False,下檔,2025-07-14,2025-10-29 11:24:08
31301,我在荒野做了一場夢,1,False,2025-08-18,2025-10-26,70,10,10,3383203.0,13954.0,338320.3,1395.4,611002.0,2025-08-25~2025-08-31,23,12.8,0.103,-0.197,-0.475,False,下檔,2025-08-18,2025-10-29 11:24:08
31305,世紀編舞大師,1,False,2025-09-01,2025-10-26,56,8,8,247806.0,1185.0,30975.75,148.12,107319.0,2025-09-08~2025-09-14,12,4.62,0.779,-0.142,0.307,False,下檔,2025-09-01,2025-10-29 11:24:08
