gov_id,region,rating_class,film_length,release_round,is_re_release,release_days,total_weeks,avg_amount_per_week,peak_amount,amount_growth_rate,decline_rate_mean,previous_round_count,previous_total_amount,total_amount
31805,挪威,輔12級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31807,中華民國,輔15級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31808,印尼,普遍級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31809,美國,輔12級,0.0,1.0,False,28.0,4.0,152876.5,535405.0,-0.869,-0.539,0.0,0.0,611506.0
31810,香港,輔12級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31835,美國,輔15級,0.0,1.0,False,28.0,4.0,504952.5,1215205.0,-0.529,-0.366,0.0,0.0,2019810.0
31836,日本,保護級,0.0,1.0,False,35.0,5.0,1484035.8,3585178.0,-0.373,-0.428,0.0,0.0,7420179.0
31842,美國,普遍級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31863,香港,保護級,0.0,1.0,False,28.0,4.0,2607845.0,5279145.0,-0.297,-0.401,0.0,0.0,10431380.0
31900,日本,普遍級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31904,日本,保護級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31988,中華民國,普遍級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32086,泰國,限制級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32087,韓國,普遍級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32098,日本,輔12級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32099,美國,保護級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32103,美國,輔15級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32111,韓國,輔15級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32112,香港,限制級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32114,日本,輔12級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32116,日本,保護級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8873,日本,普遍級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8878,日本,輔12級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9161,美國,輔15級,0.0,2.0,True,28.0,4.0,211713.75,443232.0,0.284,-0.382,1.0,16203762.0,846855.0
