gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount
31570,無名指,1,False,2025-09-19,2025-09-22,2025-10-26,35,5,4,479195.0,2001.0,119798.75,500.25,246675.0,2025-09-22~2025-09-28,59,22.25,-0.635,-0.247,0.059,False,上映中,2025-09-22,2025-10-29 12:08:36,0,0.0,0,0.0
31596,厲陰宅：最終聖事,1,False,2025-09-03,2025-09-08,2025-10-26,49,7,7,39822487.0,136628.0,5688926.71,19518.29,20459408.0,2025-09-08~2025-09-14,92,67.57,-0.522,-0.481,-0.606,False,上映中,2025-09-08,2025-10-29 12:08:36,0,0.0,0,0.0
31651,永遠在一起,1,False,2025-09-26,2025-09-29,2025-10-26,28,4,4,1406132.0,5351.0,351533.0,1337.75,994676.0,2025-09-29~2025-10-05,61,31.25,-0.658,-0.547,-0.691,False,上映中,2025-09-29,2025-10-29 12:08:36,0,0.0,0,0.0
31654,電影版小林家的龍女僕：害怕寂寞的龍,1,False,2025-09-09,2025-09-15,2025-10-26,42,6,6,4392520.0,15888.0,732086.67,2648.0,2179430.0,2025-09-15~2025-09-21,67,34.33,-0.477,-0.515,-0.57,False,上映中,2025-09-15,2025-10-29 12:08:36,0,0.0,0,0.0
31662,淒厲人師,1,False,2025-09-26,2025-09-29,2025-10-19,21,3,3,81698.0,337.0,27232.67,112.33,77538.0,2025-09-29~2025-10-05,17,6.67,-0.963,-0.574,-0.535,False,上映中,2025-09-29,2025-10-29 12:08:36,0,0.0,0,0.0
31668,突破_三千米的泳氣,1,False,2025-10-03,2025-10-06,2025-10-26,21,3,3,3335544.0,13735.0,1111848.0,4578.33,1904246.0,2025-10-06~2025-10-12,55,47.33,-0.487,-0.401,-0.534,False,上映中,2025-10-06,2025-10-29 12:08:36,0,0.0,0,0.0
31670,搖籃凡世,1,False,2025-09-19,2025-09-22,2025-10-12,21,3,3,53445.0,221.0,17815.0,73.67,26985.0,2025-09-22~2025-09-28,15,7.0,-0.039,-0.5,-0.98,False,下檔,2025-09-22,2025-10-29 12:08:36,0,0.0,0,0.0
31679,凌晨兩點的惡魔,1,False,2025-08-29,2025-09-01,2025-10-19,49,7,5,1398480.0,5454.0,279696.0,1090.8,1019841.0,2025-09-01~2025-09-07,72,26.8,-0.735,-0.502,0.0,False,上映中,2025-09-01,2025-10-29 12:08:36,0,0.0,0,0.0
31685,劇場版 咒術迴戰 懷玉・玉折,1,False,2025-09-05,2025-09-08,2025-10-26,49,7,7,21841084.0,73537.0,3120154.86,10505.29,9464676.0,2025-09-08~2025-09-14,86,60.14,-0.368,-0.384,-0.28,False,上映中,2025-09-08,2025-10-29 12:08:36,0,0.0,0,0.0
31701,麵包超人電影版：小水滴的英雄！,1,False,2025-09-06,2025-09-08,2025-10-26,49,7,7,1278280.0,4887.0,182611.43,698.14,623427.0,2025-09-08~2025-09-14,33,17.43,-0.376,2.315,-0.955,False,上映中,2025-09-08,2025-10-29 12:08:36,0,0.0,0,0.0
31702,光,1,False,2025-10-03,2025-10-06,2025-10-26,21,3,3,80601.0,343.0,26867.0,114.33,59615.0,2025-10-06~2025-10-12,13,6.67,-0.655,-0.528,-0.98,False,上映中,2025-10-06,2025-10-29 12:08:36,0,0.0,0,0.0
31704,陌路兄弟,1,False,2025-09-26,2025-09-29,2025-10-26,28,4,4,99660.0,453.0,24915.0,113.25,52150.0,2025-09-29~2025-10-05,12,6.25,-0.124,-0.443,-0.083,False,上映中,2025-09-29,2025-10-29 12:08:36,0,0.0,0,0.0
31712,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),1,False,2025-09-05,2025-09-08,2025-10-26,49,7,7,2056129.0,7692.0,293732.71,1098.86,708575.0,2025-09-15~2025-09-21,16,10.43,0.004,137.717,0.37,False,上映中,2025-09-08,2025-10-29 12:08:36,0,0.0,0,0.0
31713,捏造：史上最惡殺人教師,1,False,2025-09-19,2025-09-22,2025-10-26,35,5,5,364531.0,1485.0,72906.2,297.0,241280.0,2025-09-22~2025-09-28,28,10.8,-0.598,-0.445,0.329,False,上映中,2025-09-22,2025-10-29 12:08:36,0,0.0,0,0.0
31714,鋼琴之子,1,False,2025-09-19,2025-09-22,2025-10-26,35,5,5,110465.0,526.0,22093.0,105.2,80635.0,2025-09-22~2025-09-28,15,4.8,-0.782,-0.316,0.045,False,上映中,2025-09-22,2025-10-29 12:08:36,0,0.0,0,0.0
31715,致我所愛之人,1,False,2025-09-05,2025-09-08,2025-10-26,49,7,7,135900.0,591.0,19414.29,84.43,45890.0,2025-09-08~2025-09-14,9,2.43,-0.458,-0.247,-0.028,False,上映中,2025-09-08,2025-10-29 12:08:36,0,0.0,0,0.0
31745,血怨,1,False,2025-09-26,2025-09-29,2025-10-26,28,4,4,648728.0,2434.0,162182.0,608.5,537443.0,2025-09-29~2025-10-05,51,19.0,-0.814,-0.631,-0.765,False,上映中,2025-09-29,2025-10-29 12:08:36,0,0.0,0,0.0
